class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBT,10,0.9998973305954825,0.23439425051334703,-0.7655030800821354,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
CBTA,59,1.0,0.48012826385707746,-0.5198717361429226,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
CBTP,13,1.0,0.5806068288045632,-0.41939317119543684,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
CBT3,67,0.9999999999999999,0.4996337831019385,-0.5003662168980614,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
CBTPA,484,0.9999793388429752,0.5530495867768596,-0.4469297520661156,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
CBTP3,88,1.0,0.5417575588474026,-0.4582424411525974,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
Unclassified,263,,,,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
Overall,984,0.9999794449064096,0.48159504531686476,-0.5183843995895449,1.2578434424822627,0.810418629989293,0.13719512195121952,0.19613821138211382
