class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBTP,22,1.0,0.7424242424242424,-0.25757575757575757,0.8863076085525838,0.8672754929749871,0.05405405405405406,0.13513513513513514
CBT3,2,1.0,0.9142857142857144,-0.08571428571428563,0.8863076085525838,0.8672754929749871,0.05405405405405406,0.13513513513513514
CBTP3,6,1.0,0.22580645161290325,-0.7741935483870968,0.8863076085525838,0.8672754929749871,0.05405405405405406,0.13513513513513514
Unclassified,7,,,,0.8863076085525838,0.8672754929749871,0.05405405405405406,0.13513513513513514
Overall,37,,0.6275054694409533,-0.37249453055904663,0.8863076085525838,0.8672754929749871,0.05405405405405406,0.13513513513513514
