class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBT,6,1.0,0.38249063670411987,-0.6175093632958801,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
CBTA,243,1.0,0.6277276342635819,-0.3722723657364181,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
CBT3,8,1.0,0.4766949152542373,-0.5233050847457628,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
CBTPA,39,1.0,0.7119155354449472,-0.28808446455505277,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
Unclassified,66,,,,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
Overall,362,,0.5497071804167215,-0.4502928195832784,0.813537188135304,0.40909701007265,0.6464088397790055,0.058011049723756904
