class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBTP,21,1.0,0.352126385145253,-0.647873614854747,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
CBT3,1,1.0,0.11982248520710059,-0.8801775147928994,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
CBTPA,1,1.0,0.6272189349112426,-0.3727810650887574,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
CBTP3,253,1.0,0.659849250850262,-0.340150749149738,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
Unclassified,63,,,,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
Overall,339,,0.43975426402846457,-0.5602457359715354,0.569659487199655,1.3534475214318902,0.17699115044247787,0.27728613569321536
