class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBT,1,1.0,0.275,-0.725,0.9852045428629194,0.35645509646033036,0.0,0.047619047619047616
CBTP,1,1.0,0.75,-0.25,0.9852045428629194,0.35645509646033036,0.0,0.047619047619047616
CBT3,9,1.0,0.6342592592592592,-0.3657407407407408,0.9852045428629194,0.35645509646033036,0.0,0.047619047619047616
Unclassified,10,,,,0.9852045428629194,0.35645509646033036,0.0,0.047619047619047616
Overall,21,,0.5530864197530864,-0.4469135802469136,0.9852045428629194,0.35645509646033036,0.0,0.047619047619047616
