class,n_positives,auc_unmasked,auc_masked,delta_auc,entropy_unmasked,entropy_masked,tile_accuracy,uncertainty_rate
CBT,32,1.0,0.5044642857142857,-0.4955357142857143,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
CBTA,1,1.0,0.6777777777777778,-0.3222222222222222,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
CBT3,4,1.0,0.5178571428571428,-0.4821428571428572,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
CBTPA,1,1.0,0.9777777777777777,-0.022222222222222254,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
Unclassified,8,,,,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
Overall,46,,0.6694692460317461,-0.33053075396825393,0.7592970265899408,0.801265263437154,0.15217391304347827,0.13043478260869565
